sk_plant,plant_code,plant_name,plant_pengirim
66,B182,CNS-JAKBAR 2,1701
67,B160,CNS-BR CIREBON,1103
68,B182,CNS-JAKBAR 2,8207
69,B163,CNS-SP KUNINGAN,8003
70,B160,CNS-BR CIREBON,8003
71,B110,CNS-BR SERANG,1701
72,B110,CNS-BR SERANG,1711
73,B182,CNS-JAKBAR 2,8003
74,B120,CNS-BR JAKUTPUS,1107
75,B163,CNS-SP KUNINGAN,8003
76,B181,CNS-Kebayoran Lama,8003
77,B186,CNS-MANGGARAI,8003
78,B113,CNS-RANGKASBITUNG,8003
79,B163,CNS-SP KUNINGAN,1701
80,B113,CNS-RANGKASBITUNG,8003
81,B100,CNS-BR SUKABUMI,1602
82,B220,CNS-BR TANGERANG,8003
83,B185,CNS-BR JAKSEL,1707
84,B131,CNS-BR KARAWANG,8003
85,B112,CNS-PANDEGLANG,8003
86,B185,CNS-BR JAKSEL,8003
87,B112,CNS-PANDEGLANG,1711
88,B163,CNS-SP KUNINGAN,8003
89,B120,CNS-BR JAKUTPUS,1112
90,B186,CNS-MANGGARAI,8003
91,B160,CNS-BR CIREBON,1711
92,B182,CNS-JAKBAR 2,8003
93,B181,CNS-Kebayoran Lama,8201
94,B160,CNS-BR CIREBON,8003
95,B130,CNS-BR TAMBUN,1701
96,B110,CNS-BR SERANG,1701
97,B334,CNS-SB MADIUN,8003
98,B220,CNS-BR TANGERANG,8003
99,B163,CNS-SP KUNINGAN,8003
100,B102,CNS-SP CIBADAK,8003
101,B160,CNS-BR CIREBON,1705
102,B188,CNS - Pekayon,8003
103,B141,CNS-SB SOREANG,1701
104,B140,CNS-BR GEDEBAGE,8003
105,B182,CNS-JAKBAR 2,1701
106,B193,CNS-SP PAMEUNGPEUK,8003
107,B130,CNS-BR TAMBUN,8003
108,B186,CNS-MANGGARAI,8003
109,B120,CNS-BR JAKUTPUS,8003
110,B132,CNS-SP PURWAKARTA,1701
111,B185,CNS-BR JAKSEL,8201
112,B120,CNS-BR JAKUTPUS,8003
113,B193,CNS-SP PAMEUNGPEUK,8003
114,B188,CNS - Pekayon,8003
115,B101,CNS-SP PELABUHAN RATU,8003
116,B181,CNS-Kebayoran Lama,1701
117,B334,CNS-SB MADIUN,8003
118,B185,CNS-BR JAKSEL,1705
119,B120,CNS-BR JAKUTPUS,1701
120,B140,CNS-BR GEDEBAGE,8003
121,B171,CNS-SP SUBANG,1103
122,B162,CNS-SP MAJALENGKA,8003
123,B221,CNS-SB CIKUPA,1602
124,B132,CNS-SP PURWAKARTA,1701
125,B140,CNS-BR GEDEBAGE,8201
126,B220,CNS-BR TANGERANG,8003
127,B182,CNS-JAKBAR 2,8003
128,B188,CNS - Pekayon,1103
129,B132,CNS-SP PURWAKARTA,8003
130,B161,CNS-SP INDRAMAYU,1701
131,B182,CNS-JAKBAR 2,1103
132,B221,CNS-SB CIKUPA,8003
133,B160,CNS-BR CIREBON,8003
134,B160,CNS-BR CIREBON,1701
135,B161,CNS-SP INDRAMAYU,8003
136,B150,CNS-BR PADALARANG,8201
137,B160,CNS-BR CIREBON,1701
138,B161,CNS-SP INDRAMAYU,1707
139,B304,CNS-SP SALATIGA,8003
140,B171,CNS-SP SUBANG,1705
141,B193,CNS-SP PAMEUNGPEUK,8003
142,B141,CNS-SB SOREANG,1701
143,B171,CNS-SP SUBANG,1107
144,B113,CNS-RANGKASBITUNG,8003
145,B102,CNS-SP CIBADAK,1107
146,B150,CNS-BR PADALARANG,8201
147,B188,CNS - Pekayon,8003
148,B140,CNS-BR GEDEBAGE,8201
149,B191,CNS-SB GARUT,8003
150,B131,CNS-BR KARAWANG,8003
151,B120,CNS-BR JAKUTPUS,1103
152,B132,CNS-SP PURWAKARTA,8003
153,B163,CNS-SP KUNINGAN,1701
154,B162,CNS-SP MAJALENGKA,8003
155,B221,CNS-SB CIKUPA,8201
156,B102,CNS-SP CIBADAK,8003
157,B185,CNS-BR JAKSEL,8201
158,B162,CNS-SP MAJALENGKA,1701
159,B140,CNS-BR GEDEBAGE,1702
160,B161,CNS-SP INDRAMAYU,1103
161,B190,CNS-BR TASIKMALAYA,1701
162,B220,CNS-BR TANGERANG,8003
163,B192,CNS-SB BANJAR,1112
164,B100,CNS-BR SUKABUMI,1705
165,B220,CNS-BR TANGERANG,8201
166,B112,CNS-PANDEGLANG,8003
167,B181,CNS-Kebayoran Lama,1107
168,B191,CNS-SB GARUT,8003
169,B182,CNS-JAKBAR 2,1107
170,B171,CNS-SP SUBANG,1701
171,B181,CNS-Kebayoran Lama,1103
172,B101,CNS-SP PELABUHAN RATU,1112
173,B304,CNS-SP SALATIGA,8003
174,B194,CNS-SP CIKALONG,8003
175,B142,CNS-SB SUMEDANG,8003
176,B220,CNS-BR TANGERANG,1107
177,B130,CNS-BR TAMBUN,8003
178,B141,CNS-SB SOREANG,1701
179,B182,CNS-JAKBAR 2,1711
180,B101,CNS-SP PELABUHAN RATU,1111
181,B160,CNS-BR CIREBON,1103
182,B112,CNS-PANDEGLANG,8201
183,B192,CNS-SB BANJAR,8003
184,B140,CNS-BR GEDEBAGE,8003
185,B134,CNS-SP CIKAMPEK,8003
186,B131,CNS-BR KARAWANG,1701
187,B150,CNS-BR PADALARANG,8003
188,B188,CNS - Pekayon,8003
189,B102,CNS-SP CIBADAK,8003
190,B130,CNS-BR TAMBUN,8207
191,B163,CNS-SP KUNINGAN,8207
192,B143,CNS- M2 KOPO,8003
193,B140,CNS-BR GEDEBAGE,1711
194,B220,CNS-BR TANGERANG,1207
195,B190,CNS-BR TASIKMALAYA,1701
196,B134,CNS-SP CIKAMPEK,8003
197,B160,CNS-BR CIREBON,1711
198,B220,CNS-BR TANGERANG,1707
199,B142,CNS-SB SUMEDANG,8003
200,B192,CNS-SB BANJAR,8003
201,B141,CNS-SB SOREANG,1701
202,B120,CNS-BR JAKUTPUS,8003
203,B186,CNS-MANGGARAI,8003
204,B186,CNS-MANGGARAI,1705
205,B186,CNS-MANGGARAI,8003
206,B192,CNS-SB BANJAR,8003
207,B313,CNS-SP MAGELANG,8003
208,B300,CNS-BR SEMARANG,8003
209,B110,CNS-BR SERANG,1103
210,B185,CNS-BR JAKSEL,8003
211,B141,CNS-SB SOREANG,1103
212,B141,CNS-SB SOREANG,1104
213,B141,CNS-SB SOREANG,1103
214,B181,CNS-Kebayoran Lama,1701
215,B161,CNS-SP INDRAMAYU,1108
216,B221,CNS-SB CIKUPA,1107
217,B190,CNS-BR TASIKMALAYA,8003
218,B140,CNS-BR GEDEBAGE,8003
219,B101,CNS-SP PELABUHAN RATU,1707
220,B112,CNS-PANDEGLANG,1701
221,B191,CNS-SB GARUT,8003
222,B160,CNS-BR CIREBON,1705
223,B140,CNS-BR GEDEBAGE,8201
224,B221,CNS-SB CIKUPA,8003
225,B141,CNS-SB SOREANG,8003
226,B221,CNS-SB CIKUPA,8207
227,B141,CNS-SB SOREANG,1701
228,B221,CNS-SB CIKUPA,1111
229,B221,CNS-SB CIKUPA,8003
230,B221,CNS-SB CIKUPA,1111
231,B110,CNS-BR SERANG,1701
232,B300,CNS-BR SEMARANG,8003
233,B193,CNS-SP PAMEUNGPEUK,8201
234,B191,CNS-SB GARUT,8207
235,B150,CNS-BR PADALARANG,8003
236,B120,CNS-BR JAKUTPUS,1707
237,B304,CNS-SP SALATIGA,8003
238,B188,CNS - Pekayon,1701
239,B188,CNS - Pekayon,1601
240,B194,CNS-SP CIKALONG,1707
241,B102,CNS-SP CIBADAK,8003
242,B161,CNS-SP INDRAMAYU,1705
243,B221,CNS-SB CIKUPA,1601
244,B150,CNS-BR PADALARANG,1711
245,B102,CNS-SP CIBADAK,8003
246,B171,CNS-SP SUBANG,8003
247,B150,CNS-BR PADALARANG,1107
248,B220,CNS-BR TANGERANG,1707
249,B171,CNS-SP SUBANG,1103
250,B130,CNS-BR TAMBUN,1601
251,B194,CNS-SP CIKALONG,8003
252,B171,CNS-SP SUBANG,1711
253,B134,CNS-SP CIKAMPEK,1701
254,B102,CNS-SP CIBADAK,8003
255,B102,CNS-SP CIBADAK,1112
256,B188,CNS - Pekayon,1701
257,B220,CNS-BR TANGERANG,8201
258,B150,CNS-BR PADALARANG,1701
259,B300,CNS-BR SEMARANG,8003
260,B300,CNS-BR SEMARANG,1111
261,B194,CNS-SP CIKALONG,8003
262,B142,CNS-SB SUMEDANG,8003
263,B171,CNS-SP SUBANG,8003
264,B100,CNS-BR SUKABUMI,8003
265,B102,CNS-SP CIBADAK,1107
266,B161,CNS-SP INDRAMAYU,1707
267,B161,CNS-SP INDRAMAYU,8003
268,B163,CNS-SP KUNINGAN,8003
269,B120,CNS-BR JAKUTPUS,1707
270,B101,CNS-SP PELABUHAN RATU,8003
271,B150,CNS-BR PADALARANG,1107
272,B140,CNS-BR GEDEBAGE,1107
273,B134,CNS-SP CIKAMPEK,1701
274,B181,CNS-Kebayoran Lama,8003
275,B150,CNS-BR PADALARANG,8201
276,B142,CNS-SB SUMEDANG,1701
277,B131,CNS-BR KARAWANG,8003
278,B334,CNS-SB MADIUN,1702
279,B113,CNS-RANGKASBITUNG,1701
280,B313,CNS-SP MAGELANG,8003
281,B142,CNS-SB SUMEDANG,8003
282,B150,CNS-BR PADALARANG,8003
283,B193,CNS-SP PAMEUNGPEUK,8003
284,B191,CNS-SB GARUT,1711
285,B134,CNS-SP CIKAMPEK,1601
286,B134,CNS-SP CIKAMPEK,1602
287,B102,CNS-SP CIBADAK,1111
288,B143,CNS- M2 KOPO,1711
289,B188,CNS - Pekayon,1601
290,B188,CNS - Pekayon,1107
291,B186,CNS-MANGGARAI,8003
292,B220,CNS-BR TANGERANG,1705
293,B192,CNS-SB BANJAR,8003
294,B142,CNS-SB SUMEDANG,8003
295,B142,CNS-SB SUMEDANG,1701
296,B140,CNS-BR GEDEBAGE,8201
297,B162,CNS-SP MAJALENGKA,8201
298,B162,CNS-SP MAJALENGKA,8207
299,B101,CNS-SP PELABUHAN RATU,1707
300,B334,CNS-SB MADIUN,8003
301,B163,CNS-SP KUNINGAN,1707
302,B191,CNS-SB GARUT,8003
303,B192,CNS-SB BANJAR,1104
304,B161,CNS-SP INDRAMAYU,8003
305,B220,CNS-BR TANGERANG,8207
306,B334,CNS-SB MADIUN,1710
307,B221,CNS-SB CIKUPA,1707
308,B150,CNS-BR PADALARANG,8201
309,B300,CNS-BR SEMARANG,8207
310,B140,CNS-BR GEDEBAGE,8201
311,B141,CNS-SB SOREANG,8003
312,B181,CNS-Kebayoran Lama,1701
313,B181,CNS-Kebayoran Lama,8003
314,B130,CNS-BR TAMBUN,8003
315,B171,CNS-SP SUBANG,8003
316,B188,CNS - Pekayon,8003
317,B182,CNS-JAKBAR 2,1701
318,B162,CNS-SP MAJALENGKA,8003
319,B171,CNS-SP SUBANG,1707
320,B220,CNS-BR TANGERANG,8003
321,B130,CNS-BR TAMBUN,8003
322,B185,CNS-BR JAKSEL,8003
323,B160,CNS-BR CIREBON,1702
324,B182,CNS-JAKBAR 2,8201
325,B150,CNS-BR PADALARANG,8003
326,B182,CNS-JAKBAR 2,1108
327,B185,CNS-BR JAKSEL,1701
328,B334,CNS-SB MADIUN,1702
329,B140,CNS-BR GEDEBAGE,1107
330,B161,CNS-SP INDRAMAYU,8003
331,B161,CNS-SP INDRAMAYU,8207
332,B221,CNS-SB CIKUPA,8003
333,B161,CNS-SP INDRAMAYU,1103
334,B163,CNS-SP KUNINGAN,8003
335,B186,CNS-MANGGARAI,1701
336,B163,CNS-SP KUNINGAN,1112
337,B163,CNS-SP KUNINGAN,8003
338,B150,CNS-BR PADALARANG,8003
339,B131,CNS-BR KARAWANG,1707
340,B143,CNS- M2 KOPO,8003
341,B130,CNS-BR TAMBUN,1601
342,B120,CNS-BR JAKUTPUS,8003
343,B186,CNS-MANGGARAI,8003
344,B134,CNS-SP CIKAMPEK,1701
345,B142,CNS-SB SUMEDANG,8003
346,B191,CNS-SB GARUT,8003
347,B150,CNS-BR PADALARANG,1104
348,B150,CNS-BR PADALARANG,1103
349,B150,CNS-BR PADALARANG,1104
350,B150,CNS-BR PADALARANG,1103
351,B130,CNS-BR TAMBUN,1711
352,B132,CNS-SP PURWAKARTA,1107
353,B188,CNS - Pekayon,8201
354,B188,CNS - Pekayon,8207
355,B143,CNS- M2 KOPO,1601
356,B150,CNS-BR PADALARANG,8003
357,B102,CNS-SP CIBADAK,8201
358,B190,CNS-BR TASIKMALAYA,8003
359,B143,CNS- M2 KOPO,8207
360,B143,CNS- M2 KOPO,8201
361,B193,CNS-SP PAMEUNGPEUK,1701
362,B130,CNS-BR TAMBUN,8003
363,B221,CNS-SB CIKUPA,1701
364,B221,CNS-SB CIKUPA,1107
365,B220,CNS-BR TANGERANG,1112
366,B220,CNS-BR TANGERANG,1111
367,B185,CNS-BR JAKSEL,8003
368,B140,CNS-BR GEDEBAGE,1111
369,B313,CNS-SP MAGELANG,1710
370,B300,CNS-BR SEMARANG,8003
371,B120,CNS-BR JAKUTPUS,1711
372,B120,CNS-BR JAKUTPUS,1103
373,B191,CNS-SB GARUT,8003
374,B112,CNS-PANDEGLANG,8201
375,B101,CNS-SP PELABUHAN RATU,1701
376,B132,CNS-SP PURWAKARTA,1601
377,B111,CNS-SP MALIMPING,8201
378,B111,CNS-SP MALIMPING,8207
379,B190,CNS-BR TASIKMALAYA,8003
380,B120,CNS-BR JAKUTPUS,8003
381,B160,CNS-BR CIREBON,1107
382,B190,CNS-BR TASIKMALAYA,8003
383,B101,CNS-SP PELABUHAN RATU,8003
384,B150,CNS-BR PADALARANG,8003
385,B120,CNS-BR JAKUTPUS,8201
386,B191,CNS-SB GARUT,8207
387,B140,CNS-BR GEDEBAGE,8003
388,B191,CNS-SB GARUT,1107
389,B191,CNS-SB GARUT,1601
390,B112,CNS-PANDEGLANG,8201
391,B110,CNS-BR SERANG,8207
392,B110,CNS-BR SERANG,8201
393,B300,CNS-BR SEMARANG,8003
394,B221,CNS-SB CIKUPA,1711
395,B300,CNS-BR SEMARANG,8003
396,B112,CNS-PANDEGLANG,8207
397,B120,CNS-BR JAKUTPUS,1701
398,B162,CNS-SP MAJALENGKA,8003
399,B111,CNS-SP MALIMPING,8003
400,B100,CNS-BR SUKABUMI,1707
401,B143,CNS- M2 KOPO,1103
402,B220,CNS-BR TANGERANG,1107
403,B140,CNS-BR GEDEBAGE,1702
404,B193,CNS-SP PAMEUNGPEUK,8003
405,B171,CNS-SP SUBANG,1705
406,B150,CNS-BR PADALARANG,8003
407,B163,CNS-SP KUNINGAN,1705
408,B163,CNS-SP KUNINGAN,8003
409,B181,CNS-Kebayoran Lama,1107
410,B181,CNS-Kebayoran Lama,8207
411,B134,CNS-SP CIKAMPEK,8201
412,B134,CNS-SP CIKAMPEK,8207
413,B134,CNS-SP CIKAMPEK,1705
414,B160,CNS-BR CIREBON,1601
415,B131,CNS-BR KARAWANG,8003
416,B185,CNS-BR JAKSEL,1601
417,B161,CNS-SP INDRAMAYU,8003
418,B185,CNS-BR JAKSEL,1701
419,B150,CNS-BR PADALARANG,8003
420,B120,CNS-BR JAKUTPUS,8003
421,B120,CNS-BR JAKUTPUS,8201
422,B112,CNS-PANDEGLANG,8003
423,B100,CNS-BR SUKABUMI,1103
424,B142,CNS-SB SUMEDANG,8003
425,B100,CNS-BR SUKABUMI,1601
426,B100,CNS-BR SUKABUMI,1602
427,B190,CNS-BR TASIKMALAYA,8003
428,B190,CNS-BR TASIKMALAYA,1111
429,B134,CNS-SP CIKAMPEK,1707
430,B191,CNS-SB GARUT,8003
431,B221,CNS-SB CIKUPA,1601
432,B221,CNS-SB CIKUPA,1602
433,B142,CNS-SB SUMEDANG,8003
434,B300,CNS-BR SEMARANG,8003
435,B110,CNS-BR SERANG,1103
436,B185,CNS-BR JAKSEL,8003
437,B131,CNS-BR KARAWANG,1701
438,B141,CNS-SB SOREANG,1108
439,B141,CNS-SB SOREANG,1103
440,B132,CNS-SP PURWAKARTA,8003
441,B141,CNS-SB SOREANG,1601
442,B171,CNS-SP SUBANG,1701
443,B110,CNS-BR SERANG,8003
444,B190,CNS-BR TASIKMALAYA,1701
445,B132,CNS-SP PURWAKARTA,8003
446,B221,CNS-SB CIKUPA,1107
447,B163,CNS-SP KUNINGAN,8003
448,B194,CNS-SP CIKALONG,8003
449,B220,CNS-BR TANGERANG,1711
450,B185,CNS-BR JAKSEL,8207
451,B140,CNS-BR GEDEBAGE,8003
452,B300,CNS-BR SEMARANG,8003
453,B120,CNS-BR JAKUTPUS,1103
454,B163,CNS-SP KUNINGAN,8003
455,B101,CNS-SP PELABUHAN RATU,8003
456,B110,CNS-BR SERANG,1705
457,B300,CNS-BR SEMARANG,8003
458,B131,CNS-BR KARAWANG,8201
459,B304,CNS-SP SALATIGA,8003
460,B304,CNS-SP SALATIGA,1702
461,B188,CNS - Pekayon,1701
462,B188,CNS - Pekayon,1602
463,B188,CNS - Pekayon,1601
464,B190,CNS-BR TASIKMALAYA,1103
465,B181,CNS-Kebayoran Lama,1705
466,B160,CNS-BR CIREBON,1707
467,B160,CNS-BR CIREBON,1701
468,B171,CNS-SP SUBANG,1705
469,B192,CNS-SB BANJAR,8003
470,B131,CNS-BR KARAWANG,8201
471,B193,CNS-SP PAMEUNGPEUK,8201
472,B191,CNS-SB GARUT,8201
473,B304,CNS-SP SALATIGA,8003
474,B191,CNS-SB GARUT,8003
475,B132,CNS-SP PURWAKARTA,8003
476,B194,CNS-SP CIKALONG,1701
477,B130,CNS-BR TAMBUN,1111
478,B130,CNS-BR TAMBUN,8003
479,B102,CNS-SP CIBADAK,1111
480,B102,CNS-SP CIBADAK,8003
481,B185,CNS-BR JAKSEL,8003
482,B112,CNS-PANDEGLANG,8201
483,B112,CNS-PANDEGLANG,8207
484,B101,CNS-SP PELABUHAN RATU,1707
485,B140,CNS-BR GEDEBAGE,1701
486,B221,CNS-SB CIKUPA,1701
487,B112,CNS-PANDEGLANG,1707
488,B191,CNS-SB GARUT,8207
489,B134,CNS-SP CIKAMPEK,8207
490,B134,CNS-SP CIKAMPEK,8201
491,B134,CNS-SP CIKAMPEK,1109
492,B134,CNS-SP CIKAMPEK,1112
493,B134,CNS-SP CIKAMPEK,8003
494,B186,CNS-MANGGARAI,8201
495,B185,CNS-BR JAKSEL,8201
496,B102,CNS-SP CIBADAK,1103
497,B185,CNS-BR JAKSEL,8201
498,B101,CNS-SP PELABUHAN RATU,8201
499,B140,CNS-BR GEDEBAGE,1701
500,B188,CNS - Pekayon,1103
501,B221,CNS-SB CIKUPA,1711
502,B100,CNS-BR SUKABUMI,1109
503,B100,CNS-BR SUKABUMI,8003
504,B132,CNS-SP PURWAKARTA,8201
505,B140,CNS-BR GEDEBAGE,8207
506,B142,CNS-SB SUMEDANG,1701
507,B160,CNS-BR CIREBON,8003
508,B188,CNS - Pekayon,1701
509,B171,CNS-SP SUBANG,1109
510,B102,CNS-SP CIBADAK,1109
511,B190,CNS-BR TASIKMALAYA,1701
512,B190,CNS-BR TASIKMALAYA,1103
513,B190,CNS-BR TASIKMALAYA,1104
514,B163,CNS-SP KUNINGAN,1701
515,B120,CNS-BR JAKUTPUS,8003
516,B110,CNS-BR SERANG,1601
517,B110,CNS-BR SERANG,1107
518,B141,CNS-SB SOREANG,8207
519,B221,CNS-SB CIKUPA,8003
520,B221,CNS-SB CIKUPA,1109
521,B188,CNS - Pekayon,8003
522,B188,CNS - Pekayon,1109
523,B100,CNS-BR SUKABUMI,8003
524,B181,CNS-Kebayoran Lama,8003
525,B185,CNS-BR JAKSEL,8201
526,B193,CNS-SP PAMEUNGPEUK,8003
527,B110,CNS-BR SERANG,1107
528,B120,CNS-BR JAKUTPUS,8003
529,B102,CNS-SP CIBADAK,8003
530,B220,CNS-BR TANGERANG,1711
531,B186,CNS-MANGGARAI,8003
532,B182,CNS-JAKBAR 2,8207
533,B191,CNS-SB GARUT,8003
534,B102,CNS-SP CIBADAK,8003
535,B185,CNS-BR JAKSEL,8003
536,B132,CNS-SP PURWAKARTA,1707
537,B150,CNS-BR PADALARANG,8003
538,B120,CNS-BR JAKUTPUS,1707
539,B182,CNS-JAKBAR 2,8207
540,B182,CNS-JAKBAR 2,8003
541,B131,CNS-BR KARAWANG,8201
542,B110,CNS-BR SERANG,1701
543,B161,CNS-SP INDRAMAYU,8003
544,B220,CNS-BR TANGERANG,1109
545,B131,CNS-BR KARAWANG,1111
546,B131,CNS-BR KARAWANG,1112
547,B131,CNS-BR KARAWANG,8003
548,B191,CNS-SB GARUT,8003
549,B120,CNS-BR JAKUTPUS,8201
550,B182,CNS-JAKBAR 2,8003
551,B131,CNS-BR KARAWANG,8201
552,B162,CNS-SP MAJALENGKA,8003
553,B111,CNS-SP MALIMPING,8003
554,B186,CNS-MANGGARAI,8201
555,B113,CNS-RANGKASBITUNG,8003
556,B120,CNS-BR JAKUTPUS,8207
557,B160,CNS-BR CIREBON,1107
558,B185,CNS-BR JAKSEL,1108
559,B181,CNS-Kebayoran Lama,8003
560,B171,CNS-SP SUBANG,1108
561,B171,CNS-SP SUBANG,1107
562,B171,CNS-SP SUBANG,1101
563,B160,CNS-BR CIREBON,8003
564,B160,CNS-BR CIREBON,1111
565,B160,CNS-BR CIREBON,8003
566,B185,CNS-BR JAKSEL,1707
567,B141,CNS-SB SOREANG,1702
568,B101,CNS-SP PELABUHAN RATU,8207
569,B182,CNS-JAKBAR 2,1711
570,B221,CNS-SB CIKUPA,1601
571,B221,CNS-SB CIKUPA,1602
572,B140,CNS-BR GEDEBAGE,1701
573,B150,CNS-BR PADALARANG,1701
574,B182,CNS-JAKBAR 2,8003
575,B134,CNS-SP CIKAMPEK,8003
576,B193,CNS-SP PAMEUNGPEUK,1701
577,B182,CNS-JAKBAR 2,1707
578,B171,CNS-SP SUBANG,1701
579,B141,CNS-SB SOREANG,1111
580,B141,CNS-SB SOREANG,1109
581,B141,CNS-SB SOREANG,8003
582,B143,CNS- M2 KOPO,1701
583,B150,CNS-BR PADALARANG,1701
584,B185,CNS-BR JAKSEL,1111
585,B185,CNS-BR JAKSEL,1112
586,B185,CNS-BR JAKSEL,1111
587,B185,CNS-BR JAKSEL,1112
588,B185,CNS-BR JAKSEL,8003
589,B181,CNS-Kebayoran Lama,1705
590,B160,CNS-BR CIREBON,1701
591,B181,CNS-Kebayoran Lama,1707
592,B120,CNS-BR JAKUTPUS,8201
593,B120,CNS-BR JAKUTPUS,8207
594,B120,CNS-BR JAKUTPUS,1701
595,B185,CNS-BR JAKSEL,1101
596,B185,CNS-BR JAKSEL,1107
597,B141,CNS-SB SOREANG,8003
598,B160,CNS-BR CIREBON,8003
599,B150,CNS-BR PADALARANG,1701
600,B193,CNS-SP PAMEUNGPEUK,8003
601,B110,CNS-BR SERANG,1602
602,B120,CNS-BR JAKUTPUS,8003
603,B185,CNS-BR JAKSEL,8207
604,B182,CNS-JAKBAR 2,1107
605,B221,CNS-SB CIKUPA,1705
606,B100,CNS-BR SUKABUMI,1109
607,B186,CNS-MANGGARAI,8003
608,B110,CNS-BR SERANG,1707
609,B120,CNS-BR JAKUTPUS,1701
610,B192,CNS-SB BANJAR,1707
611,B120,CNS-BR JAKUTPUS,1109
612,B110,CNS-BR SERANG,1701
613,B110,CNS-BR SERANG,8207
614,B110,CNS-BR SERANG,8201
615,B120,CNS-BR JAKUTPUS,1707
616,B161,CNS-SP INDRAMAYU,1601
617,B161,CNS-SP INDRAMAYU,1107
618,B161,CNS-SP INDRAMAYU,8003
619,B161,CNS-SP INDRAMAYU,1111
620,B161,CNS-SP INDRAMAYU,1112
621,B334,CNS-SB MADIUN,8003
622,B150,CNS-BR PADALARANG,8201
623,B186,CNS-MANGGARAI,8003
624,B182,CNS-JAKBAR 2,1602
625,B182,CNS-JAKBAR 2,8207
626,B132,CNS-SP PURWAKARTA,8201
627,B160,CNS-BR CIREBON,8003
628,B141,CNS-SB SOREANG,1602
629,B193,CNS-SP PAMEUNGPEUK,8003
630,B141,CNS-SB SOREANG,8003
631,B190,CNS-BR TASIKMALAYA,1701
632,B190,CNS-BR TASIKMALAYA,1104
633,B163,CNS-SP KUNINGAN,1705
634,B221,CNS-SB CIKUPA,1109
635,B134,CNS-SP CIKAMPEK,8003
636,B143,CNS- M2 KOPO,1701
637,B185,CNS-BR JAKSEL,8003
638,B160,CNS-BR CIREBON,1701
639,B220,CNS-BR TANGERANG,8207
640,B160,CNS-BR CIREBON,8003
641,B101,CNS-SP PELABUHAN RATU,1111
642,B101,CNS-SP PELABUHAN RATU,1112
643,B101,CNS-SP PELABUHAN RATU,1109
644,B101,CNS-SP PELABUHAN RATU,8003
645,B142,CNS-SB SUMEDANG,8003
646,B188,CNS - Pekayon,1705
647,B130,CNS-BR TAMBUN,1107
648,B161,CNS-SP INDRAMAYU,8003
649,B111,CNS-SP MALIMPING,8003
650,B142,CNS-SB SUMEDANG,8003
651,B113,CNS-RANGKASBITUNG,8003
652,B134,CNS-SP CIKAMPEK,8003
653,B181,CNS-Kebayoran Lama,1107
