sk_vendor,vendor_code,license_no,jenis_mobil
41,0000502777,B 9002 XA,1T.BUILT UP
42,0000505138,B 9796 TEX,BU/225CT02RIKI
43,0000505138,B 9332 TEV,BU/25CT02/RIKI
44,0000503421,B 9731 PEU,1T.BUILT UP
45,0000501246,B 9656 UIU,BU/GBCB01/HASAN
46,0000505138,B 9781 TEX,1.KUBIKASI
47,0000502777,B 9618 VS,1T.BUILT UP
48,0000502777,B 9618 KP,1T.BUILT UP
49,0000502777,B 9084 BEU,1T.BUILT UP
50,0000502777,B 9838 WO,1T.BUILT UP
51,0000506461,B 9453 SEU,1T.BUILT UP
52,0000503421,B 9662 PEU,BU/20CB02/HASAN
53,0000502777,B 9225 BEU,1T.BUILT UP
54,0000505138,B 9372 TEY,BU/25CT02/RIKI
55,0000503520,B 9054 VXR,1T.ENGKEL
56,0000503520,B 9051 VXR,1T.ENGKEL
57,0000505138,B 9964 TEY,1.KUBIKASI
58,0000505138,B 9362 TEW,1.KUBIKASI
59,0000505138,B 9419 TXT,1KUBIKASI
60,0000505138,B 9460 TEY,1.KUBIKASI
61,0000503421,B 9622 PEU,BU/20CB02/RIKI
62,0000506461,B 9422 SEU,1T.BUILT UP
63,0000505138,B 9419 TXT,1.KUBIKASI
64,0000505138,B 9996 TEY,BU/25CT02/RIKI
65,0000505138,B 9069 TEY,BU/25JT08/ANDRI
66,0000502777,B 9618 KA,1T.BUILT UP
67,0000505138,B 9126 TEV,BU/20CT02/RIKI
68,0000501246,B 9637 BEU,1T.BUILT UP
69,0000505138,B 9134 TEY,KUBIKASI
70,0000502777,B 9618 VS,1T.BUILT UP
71,0000501246,B 9694 UEV,1T.BUILT UP
72,0000505138,B 9409 TEV,BU/20CS03/RIKI
73,0000505138,B 9873 TEY,BU/20CS03/RIKI
74,0000503421,B 9086 PXS,1T.BUILT UP
75,0000505138,B 9571 TEV,1T.BUILT UP
76,0000505138,B 9285 TXT,1T.BUILT UP
77,0000503520,B 9626 VCA,1T.ENGKEL
78,0000506461,B 9428 SEU,1T.BUILT UP
79,0000501246,B 9694 UEV,1T.BUILT UP
80,0000505138,B 9990 TXT,BU/DCK028/RIKI
81,0000502777,B 9002 XA,1T.BUILT UP
82,0000503421,B 9762 PEU,1T.BUILT UP
83,0000503421,B 9694 PEU,1T.BUILT UP
84,0000503421,B 9981 PXS,CD/8FJJ01/ANDRI
85,0000505187,B 9036 BOA,1T.BUILT UP
86,0000500755,B 9904 CRW,1T.BUILT UP
87,0000503520,B 9054 VXR,1T.ENGKEL
88,0000505138,B 9582 TEY,BU/25CP04/RIKI
89,0000503763,B 9275 TEZ,1.KUBIKASI
90,0000505138,B 9198 TEX,1.KUBIKASI
91,0000506461,B 9422 SEU,1T.BUILT UP
92,0000505138,B 9595 TEW,BU/20CC09/RIKI
93,0000505138,B 9781 TEV,1.KUBIKASI
94,0000505138,B 9451 TEX,KUBIKASI
95,0000502777,B 9917 BEU,1T.BUILT UP
96,0000507232,B 9862 BEU,BU/25CT03/HASAN
97,0000505138,B 9595 TEW,BU/25CS03/FIKRI
98,0000505138,B 9144 TEW,1KUBIKASI
99,0000503421,B 9732 PEU,1T.BUILT UP
100,0000506234,Z 9873 HA,1T.BUILT UP
101,0000505138,B 9585 TEV,1T.BUILT UP
102,0000503849,B 9503 IT,BU/DCI003/FIKRI
103,0000505138,B 9881 TEW,1.KUBIKASI
104,0000505138,B 9424 TEX,BU/25CB04/RIKI
105,0000505733,B 9023 VEU,1.KUBIKASI
106,0000507232,B 9144 BEV,BU/25CT02/HASAN
107,0000503849,B 9318 UXS,1T.ENGKEL
108,0000505138,B 9267 TXT,1.KUBIKASI
109,0000506461,B 9422 SEU,1T.BUILT UP
110,0000505138,B 9304 TEX,1.KUBIKASI
111,0000505138,B 9170 TEV,BU/25CP01/FIKRI
112,0000503421,B 9821 PXR,FUSO
113,0000505138,B 9357 TXT,1.KUBIKASI
114,0000503849,B 9416 UXS,1T.ENGKEL
115,0000502777,B 9091 BEU,1T.BUILT UP
116,0000505138,B 9906 TEY,1.KUBIKASI
117,0000505138,B 9876 TEY,BU/25CJ01/FIKRI
118,0000505138,B 9232 TEY,1KUBIKASI
119,0000505535,B 9308 TXT,CD/8FCJ01/FIKRI
120,0000505138,B 9243 TEW,BU/20CJ01/RIKI
121,0000505733,B 9462 PEU,1.KUBIKASI
122,0000501246,B 9689 UEW,1T.BUILT UP
123,0000503849,B 9084 UEV,1T.BUILT UP
124,0000505138,B 9267 TXT,1.KUBIKASI
125,0000505138,B 9835 TEY,BU/20CP01/FIKRI
126,0000506865,N 9885 UG,BUILD UP
127,0000505138,B 9115 TEW,1.KUBIKASI
128,0000503421,B 9284 PXS,1T.BUILT UP
129,0000503421,B 9719 PEU,1T.BUILT UP
130,0000505138,B 9419 TXT,1.KUBIKASI
131,0000505138,B 9940 TXT,BU/DCI003/RIKI
132,0000505138,B 9886 TEY,1.KUBIKASI
133,0000503421,B 9732 PEU,1T.BUILT UP
134,0000501246,B 9635 BEU,1T.BUILT UP
135,0000505138,B 9883 TXT,BU/DCC034/FIKRI
136,0000502223,B 9870 RY,1T.TRONTON
137,0000505769,D 9602 AF,BUILD UP
138,0000505138,B 9297 TEV,BU/20CC09/FIKRI
139,0000505339,B 9712 BEU,BU/28JI05/INDRA
140,0000505982,H 1785 AP,1KUBIKASI
141,0000505138,B 9702 TEX,BU/20CS02/HASAN
142,0000503849,B 9417 UXS,1T.ENGKEL
143,0000505138,B 9072 TEV,BU/25CB04/FIKRI
144,0000505138,B 9267 TXT,1.KUBIKASI
145,0000502777,B 9002 XA,1T.BUILT UP
146,0000503421,B 9562 PEU,1T.BUILT UP
147,0000505769,D 9074 BA,BUILD UP
148,0000505138,B 9047 TEY,1.KUBIKASI
149,0000506865,N 8138 UH,BUILD UP
150,0000505733,B 9087 VEU,1.KUBIKASI
151,0000505187,B 9036 BOA,1T.BUILT UP
152,0000505138,B 9780 TEW,1.KUBIKASI
153,0000501246,B 9582 VO,1T.BUILT UP
154,0000503421,B 9746 PEU,BU/20CK04/FIKRI
155,0000503849,B 9164 UEU,1T.BUILT UP
156,0000505138,B 9872 TEW,KUBIKASI
157,0000505138,B 9942 TEV,1T.BUILT UP
158,0000503421,B 9216 PXR,FUSO
159,0000505138,B 9338 TEW,BU/25CM01/FIKRI
160,0000505138,B 9553 TEW,BU/25KB04/AWAN
161,0000502777,B 9885 BEU,1T.BUILT UP
162,0000505138,B 9043 TEW,BU/25CT01/FIKRI
163,0000503421,B 9802 PEU,1T.BUILT UP
164,0000505138,B 9036 TEV,1.KUBIKASI
165,0000505138,B 9486 TEX,BU/25CS01/HASAN
166,0000505138,B 9198 TEX,KUBIKASI
167,0000500755,B 9904 CRW,1T.BUILT UP
168,0000503520,B 9053 VXR,1T.ENGKEL
169,0000506234,D 9304 VC,1T.BUILT UP
170,0000505733,B 9462 PEU,1.KUBIKASI
171,0000505138,B 9267 TXT,1T.BUILT UP
172,0000505138,B 9438 TEX,BU/25CS02/HASAN
173,0000503520,B 9050 VXR,1T.ENGKEL
174,0000505138,B 9891 TEU,1.KUBIKASI
175,0000505982,H 1785 AP,1KUBIKASI
176,0000506234,Z 9841 HB,1T.TRONTON
177,0000505138,B 9939 TEV,1.KUBIKASI
178,0000505138,B 9571 TEV,1.KUBIKASI
179,0000505138,B 9064 TXT,1.KUBIKASI
180,0000505769,D 9503 AE,BU/GBCB04/FIKRI
181,0000505138,B 9838 TEY,BU/20CT02/FIKRI
182,0000505138,B 9334 TEV,1KUBIKASI
183,0000501246,B 9011 XQ,1T.BUILT UP
184,0000503520,B 9053 VXR,FUSO
185,0000505138,B 9607 TEX,1.KUBIKASI
186,0000505733,B 9088 VEU,1.KUBIKASI
187,0000503421,B 9785 PEU,1T.BUILT UP
188,0000505138,B 9126 TEV,BU/25CK03/FIKRI
189,0000505733,B 9315 UXU,1.KUBIKASI
190,0000505138,B 9797 TEY,1.KUBIKASI
191,0000505138,B 9764 TEV,1T.BUILT UP
192,0000505138,B 9938 TEY,KUBIKASI
193,0000501246,B 9582 VO,BUILT UP
194,0000505733,B 9066 VEU,1.KUBIKASI
195,0000505138,B 9631 TEV,BU/25CB04/FIKRI
196,"BUANA INDAH CITRA ANUGERAH, CV.",QWEQE,
197,0000505138,B 9293 TEW,BU/25CT01/FIKRI
198,0000502777,B 9618 UO,1T.BUILT UP
199,0000505138,B 9126 TEV,BU/20CC09/FIKRI
200,0000505138,B 9977 TEY,BU/25JT08/ANDRI
201,0000505733,B 9042 UEN,1.KUBIKASI
202,0000505138,B 9220 TEW,1.KUBIKASI
203,0000505138,B 9341 TEW,BU/25CB04/FIKRI
204,0000505138,B 9951 TEY,1.KUBIKASI
205,0000505733,B 9099 VEU,1.KUBIKASI
206,0000505138,B 9409 TEV,BU/25CJ01/RIKI
207,0000505138,B 9365 TEW,1.KUBIKASI
208,0000502876,AA 1874 CA,1KUBIKASI
209,0000505982,H 1579 EA,1KUBIKASI
210,0000505138,B 9505 TEW,1.KUBIKASI
211,0000503763,B 9922 TXR,1T.ENGKEL
212,0000505138,B 9946 TEX,1.KUBIKASI
213,0000503421,B 9632 PEU,BU/25CJ01/RIKI
214,0000502777,B 9006 WX,1T.BUILT UP
215,0000502777,B 9618 KA,1T.BUILT UP
216,0000505733,B 9318 UXU,1.KUBIKASI
217,0000505733,B 9088 VEU,1.KUBIKASI
218,0000506512,B 9478 UXV,CD/8FJP05/HERYDJ
219,0000505138,B 9409 TEV,BU/25CP04/FIKRI
220,0000505733,B 9710 PEU,1.KUBIKASI
221,0000505138,B 9937 TXT,BU/DCC034/RIKI
222,0000506234,D 8226 WH,TRONTON
223,0000502777,B 9089 BEU,1T.BUILT UP
224,0000505138,B 9409 TEV,1.KUBIKASI
225,0000505138,B 9193 TEW,KUBIKASI
226,0000505138,B 9308 TEY,BU/25CB04/FIKRI
227,0000505138,B 9204 TEZ,1.KUBIKASI
228,0000503421,B 9655 PEU,1T.BUILT UP
229,0000505138,B 9595 TEW,BU/20CS03/HASAN
230,0000505177,H 9149 OA,1T.BUILT UP
231,0000503763,B 9750 TXT,FUSO
232,0000506234,A 8416 ZN,TRONTON
233,0000505733,B 9744 PEU,1.KUBIKASI
234,0000505138,B 9035 TEY,BU/25JJ05/HERYDJ
235,0000507067,K 1995 BP,1KUBIKASI
236,0000507232,B 9807 BXS,BU/25CB03/RIKI
237,0000505138,B 9096 TXT,1KUBIKASI
238,0000503421,B 9024 PXS,CD/8FJC08/INDRA
239,0000505138,B 9064 TXT,1T.BUILT UP
240,0000505138,B 9994 TXT,BU/DCI003/HASAN
241,0000505138,B 9419 TXT,1.KUBIKASI
242,0000505138,B 9233 TEY,BU/20CB01/RIKI
243,0000505138,B 9653 TEV,1T.BUILT UP
244,0000505733,B 9097 VEU,1.KUBIKASI
245,0000502777,B 9006 WX,1T.BUILT UP
246,0000505138,B 9548 TEY,BU/25JT08/HERYDJ
247,0000505138,B 9107 TEX,1.KUBIKASI
248,0000503421,B 9644 PEU,1T.BUILT UP
249,0000506234,Z 9206 HA,1T.TRONTON
250,0000505138,B 9835 TEY,BU/20CS02/HASAN
251,0000505138,B 9625 TEW,BU/25CC01/FIKRI
252,0000505138,B 9737 TEX,1T.BUILT UP
253,0000505138,B 9301 TEV,BU/25CB03/HASAN
254,0000505138,B 9234 TEW,KUBIKASI
255,0000505769,A 9035 ZN,BU/KGCB08/FIKRI
256,0000505177,K 8089 UK,1T.BUILT UP
257,0000506234,Z 8272 LF,1T.TRONTON
258,0000501246,B 9008 UEX,1T.BUILT UP
259,0000503421,B 9706 PEU,1T.BUILT UP
260,0000505138,B 9089 TXT,1T.BUILT UP
261,0000503421,B 9721 PEU,1T.BUILT UP
262,0000505339,B 9035 BEV,BU/28JI05/INDRA
263,0000502223,B 9731 QD,1T.TRONTON
264,0000502777,B 9917 BEU,1T.BUILT UP
265,0000505138,B 9667 TEX,BU/25JJ05/INDRA
266,0000505138,B 9027 TEX,1.KUBIKASI
267,0000505138,B 9450 TXT,1.KUBIKASI
268,0000506234,B 9587 UO,1T.BUILT UP
269,0000505138,B 9108 TEW,BU/25CC01/HASAN
270,0000503520,B 9052 VXR,1T.ENGKEL
271,0000506234,Z 8568 HE,TRONTON
272,0000503421,B 9778 PEU,BU/20CS04/HASAN
273,0000503421,B 9683 PEU,1T.BUILT UP
274,0000506149,N 9285 ED,BU/20KM05/AWAN
275,0000505138,B 9782 TEV,BU/25CR01/HASAN
276,0000502876,AA 1875 CA,1KUBIKASI
277,0000505138,B 9939 TEV,1.KUBIKASI
278,0000505733,B 9315 UXU,1.KUBIKASI
279,0000503849,B 9318 UXS,1T.ENGKEL
280,0000505138,B 9078 TEX,BU/25CG01/HASAN
281,0000503421,B 9284 PXS,1.T Built up
282,0000505138,B 9737 TEX,1T.BUILT UP
283,0000503421,B 9636 PEU,BU/25CB04/HASAN
284,0000502777,B 9269 BEU,1T.BUILT UP
285,0000505138,B 9797 TEY,1.KUBIKASI
286,0000505733,B 9099 VEU,1.KUBIKASI
287,0000505138,B 9671 TEV,BU/25CT02/FIKRI
288,0000505138,B 9067 TEZ,1.KUBIKASI
289,0000505733,B 9023 VEU,1.KUBIKASI
290,0000505769,D 9141 BA,BU/KGCS08/HASAN
291,0000506234,Z 8788 WB,TRONTON
292,0000507032,B 9097 NQD,TRONTON
293,0000506621,F 9532 FF,CD/8FJP05/ANDRI
294,0000505138,B 9780 TEW,1KUBIKASI
295,0000505339,B 9213 BEU,BU/28JK01/INDRA
296,0000505733,B 9093 VEU,1.KUBIKASI
297,0000505138,B 9462 TXT,1.KUBIKASI
298,0000503849,B 9084 UEV,1T.BUILT UP
299,0000502223,B 9731 QD,1T.TRONTON
300,0000502223,B 9870 RY,1T.TRONTON
301,0000505138,B 9611 TEX,KUBIKASI
302,0000503969,B 9924 TEU,BU/20KM05/FADIL
303,0000505138,B 9886 TEY,BU/25JT08/ANDRI
304,0000506234,D 8226 WH,TRONTON
305,0000506449,B 9108 KXR,KUBIKASI
306,0000505769,D 9602 AF,BUILD UP
307,0000505733,B 9094 VEU,1.KUBIKASI
308,0000507232,A 9838 S,BU/25CJ01/FIKRI
309,0000503520,B 9052 VXR,1T.ENGKEL
310,0000505138,B 9964 TEY,1.KUBIKASI
311,0000505733,B 9679 PEU,1.KUBIKASI
312,0000505138,B 9460 TEY,1.KUBIKASI
313,0000505138,B 9905 TEU,BU/25CT02/FIKRI
314,0000503849,B 9164 UEU,1T.BUILT UP
315,0000505138,B 9992 TEW,BU/25JS12/INDRA
316,0000505138,B 9100 TXT,1.KUBIKASI
317,0000505138,B 9115 TEW,1.KUBIKASI
318,0000503763,B 9750 TXT,1T.ENGKEL
319,0000503969,B 9171 TEZ,BU/25KC01/FADIL
320,0000505138,B 9232 TEY,KUBIKASI
321,0000505733,B 9315 UXU,1.KUBIKASI
322,0000505138,B 9450 TXT,1T.BUILT UP
323,0000506512,B 9514 UXV,CD/8FCJ01/FIKRI
324,0000503969,B 9870 TEU,BU/20KM05/AWAN
325,0000506234,D 8226 VA,1T.BUILT UP
326,0000502777,B 9089 BEU,1T.BUILT UP
327,0000506618,D 9167 AD,BUILT UP
328,0000502777,B 9618 KA,1T.BUILT UP
329,0000502777,B 9885 BEU,1T.BUILT UP
330,0000503849,B 9164 UEU,1T.BUILT UP
331,0000505138,B 9671 TEV,BU/25CJ01/HASAN
332,0000501246,B 9692 UEV,1T.BUILT UP
333,0000503849,B 9110 UEV,1T.BUILT UP
334,0000505733,B 9042 UEN,1.KUBIKASI
335,0000505138,B 9840 TEY,BU/25JK07/HERYDJ
336,0000505138,B 9744 TEX,1.KUBIKASI
337,0000503421,B 9509 PEU,1T.BUILT UP
338,0000505138,B 9951 TEY,1.KUBIKASI
339,0000506461,B 9428 SEU,1T.BUILT UP
340,0000505138,B 9409 TEV,BU/25CJ01/RIKI
341,0000505138,B 9671 TEV,BU/25CC01/FIKRI
342,0000505733,B 9094 VEU,1.KUBIKASI
343,0000505733,B 9023 VEU,1.KUBIKASI
344,0000505138,B 9427 TXT,1.KUBIKASI
345,0000501246,B 9657 UIU,BU/GBCT02/FIKRI
346,0000505138,B 9141 TEW,1.KUBIKASI
347,0000505145,N 8727 US,BUILT UP
348,0000502777,B 9885 BEU,1T.BUILT UP
349,0000505733,B 9315 UXU,1.KUBIKASI
350,0000506865,B 9655 VV,BUILT UP
351,0000505733,B 9042 UEN,1.KUBIKASI
352,0000505769,D 9074 BA,BUILD UP
353,0000503421,B 9843 PXS,CD/8FCP08/RIKI
354,0000505138,B 9036 TEV,1.KUBIKASI
355,0000505138,B 9770 TEU,BU/25CT02/RIKI
356,0000502777,B 9089 BEU,1T.BUILT UP
357,0000503421,B 9530 PEU,1T.BUILT UP
358,0000503520,B 9054 VXR,1T.ENGKEL
359,0000505733,B 9679 PEU,1.KUBIKASI
360,0000505138,B 9627 TEY,BU/25KM01/AWAN
361,0000505138,B 9148 TEV,1T.BUILT UP
362,0000503421,B 9747 PEU,BU/25CJ01/FIKRI
363,0000505138,B 9427 TXT,1.KUBIKASI
364,0000505733,B 9023 VEU,1.KUBIKASI
365,0000503520,B 9053 VXR,FUSO
366,0000504927,B 9355 NYU,CD/8FCP02/FIKRI
367,0000505138,B 9141 TEW,1.KUBIKASI
368,0000503421,B 9654 BCC,FUSO
369,0000503421,B 9768 PEU,1T.BUILT UP
370,0000505138,B 9781 TEV,1.KUBIKASI
371,0000501246,B 9689 UEV,1T.BUILT UP
372,0000503421,B 9279 PXS,1T.BUILT UP
373,0000505138,B 9334 TEV,1KUBIKASI
374,0000505733,B 9679 PEU,1.KUBIKASI
375,0000505138,B 9990 TEX,KUBIKASI
376,0000506234,D 8038 CD,TRONTON
377,0000505733,B 9737 PEU,1.KUBIKASI
378,0000506234,Z 9703 MM,1.KUBIKASI
379,0000503520,B 9053 VXR,FUSO
380,0000505145,N 9098 UQ,BUILT UP
381,0000505177,H 9149 OA,1T.BUILT UP
382,0000505769,B 9875 AE,BU/GBCT01/RIKI
383,0000505982,H 1579 EA,1KUBIKASI
384,0000503520,B 9053 VXR,FUSO
385,0000505138,B 9595 TEW,BU/25CJ01/RIKI
386,0000501246,B 9637 BEU,1T.BUILT UP
387,0000503520,A 8191 WX,1T.ENGKEL
388,0000503763,B 9321 TXU,BU/20CS09/HERYDJ
389,0000505138,B 9377 TXT,1.KUBIKASI
390,0000505138,B 9427 TXT,1.KUBIKASI
391,0000503969,B 9936 TEU,BU/25KB04/AWAN
392,0000503849,B 9318 UXS,1T.ENGKEL
393,0000505138,B 9132 TEW,BU/25CS02/HASAN
394,0000505733,B 9315 UXU,1.KUBIKASI
395,0000505138,B 9004 TXU,BU/DCK028/FIKRI
396,0000501246,B 9192 BEU,1T.BUILT UP
397,0000503520,B 9052 VXR,1T.ENGKEL
398,0000506865,B 9585 BEU,BUILT UP
399,0000506865,B 9326 OE,BUILT UP
400,0000505138,B 9301 TEY,BU/25CC01/FIKRI
401,0000502777,B 9826 BEU,1T.BUILT UP
402,0000505733,B 9093 VEU,1.KUBIKASI
403,0000503520,B 9053 VXR,1T.ENGKEL
404,0000503849,B 9112 UEV,1T.BUILT UP
405,0000503849,B 9480 SYK,1T.BUILT UP
406,0000507073,B 9216 VXR,CD/8FCJ01/FIKRI
407,0000505733,B 9679 PEU,1.KUBIKASI
408,0000506461,B 9084 SEU,1T.BUILT UP
409,0000505138,B 9990 TEX,KUBIKASI
410,0000500755,B 9904 CRW,1T.BUILT UP
411,0000505138,B 9798 TEX,1.KUBIKASI
412,0000505733,B 9073 VEU,1.KUBIKASI
413,0000503421,B 9713 PEU,1T.BUILT UP
414,0000503421,B 9778 PEU,1T.BUILT UP
415,0000505138,B 9180 TEV,BU/25JC01/INDRA
416,0000505733,B 9710 PEU,1.KUBIKASI
417,0000505138,B 9419 TXT,1.KUBIKASI
418,0000505733,B 9094 VEU,1.KUBIKASI
419,0000505982,H 1579 EA,1KUBIKASI
420,0000505138,B 9505 TEW,1.KUBIKASI
421,0000503763,B 9922 TXR,1T.ENGKEL
422,0000505138,B 9108 TEW,BU/25CK03/FIKRI
423,0000502777,B 9883 BEU,1T.BUILT UP
424,0000505138,B 9946 TEX,1.KUBIKASI
425,0000505138,B 9460 TEY,1.KUBIKASI
426,0000502777,B 9826 BEU,1T.BUILT UP
427,0000505138,B 9071 TEY,BU/25CM01/HASAN
428,0000500755,B 9713 CRW,1T.BUILT UP
429,0000505138,B 9594 TEW,BU/25CT01/FIKRI
430,0000505138,B 9089 TXT,1.KUBIKASI
431,0000502777,B 9879 WG,1T.BUILT UP
432,0000501246,B 9689 UEW,1T.BUILT UP
433,0000506234,Z 9301 YA,1T.TRONTON
434,0000505138,B 9886 TEY,BU/25CT02/FIKRI
435,0000503763,B 9922 TXR,FUSO
436,0000505733,B 9737 PEU,1.KUBIKASI
437,0000505138,B 9148 TEV,1T.BUILT UP
438,0000505138,B 9427 TXT,1.KUBIKASI
439,0000506234,K 1554 PF,1T.BUILT UP
440,0000505138,B 9334 TEV,1KUBIKASI
441,0000505138,B 9834 TEU,BU/25CS03/FIKRI
442,0000505177,H 9149 OA,1T.BUILT UP
443,0000506865,B 9035 BYT,BUILT UP
444,0000507067,K 1995 BP,1KUBIKASI
445,0000505138,B 9431 TXT,BU/BKB009/AWAN
446,0000507232,B 9807 BXS,BU/25CB03/RIKI
447,0000505138,B 9096 TXT,1KUBIKASI
448,0000505138,B 9377 TXT,1T.BUILT UP
449,0000505138,B 9950 TEU,BU/25CJ01/FIKRI
450,0000505339,B 9715 BEU,BU/28JC04/HERYDJ
451,0000505138,B 9137 TEV,BU/20CC09/RIKI
452,0000505138,B 9535 TEX,BU/25CS02/FIKRI
453,0000505138,B 9220 TEW,1.KUBIKASI
454,0000506865,B 9035 BYT,BUILT UP
455,0000503763,B 9750 TXT,FUSO
456,0000506234,A 8416 ZN,TRONTON
457,0000507067,K 1995 BP,1KUBIKASI
458,0000505733,B 9221 PXS,1.KUBIKASI
459,0000501246,B 9689 UEV,1T.BUILT UP
460,0000503421,B 9076 PXS,CD/8FCC09/RIKI
461,0000505138,B 9834 TEU,1.KUBIKASI
462,0000505138,B 9942 TEV,1T.BUILT UP
463,0000503520,B 9053 VXR,1T.ENGKEL
464,0000503763,B 9922 TXR,FUSO
465,0000506621,B 9161 WCC,CD/8FJP05/HERYDJ
466,0000505769,B 9388 FYU,BUKGCB08/FIKRI
467,0000505138,B 9069 TEY,BU/25CT03/FIKRI
468,0000503421,B 9746 PEU,BU/20CP09/ANDRI
469,0000505138,B 9122 TEV,KUBIKASI
470,0000505138,B 9977 TEW,KUBIKASI
471,0000502777,B 9210 BYU,1T.BUILT UP
472,0000506865,B 9708 S,BUILT UP
473,0000503421,B 9216 PXR,FUSO
474,0000505138,B 9798 TEX,1T.BUILT UP
475,0000503421,B 9216 PXR,FUSO
476,0000503421,B 9180 PXT,FUSO
477,0000505769,D 9878 AE,BU/KGCB08/HASAN
478,0000503421,B 9255 PXS,1T.BUILT UP
479,0000505138,B 9409 TEV,BU/25CT02/FIKRI
480,0000505138,B 9671 TEV,1T.BUILT UP
481,0000503421,B 9505 YN,FUSO
482,0000506234,D 8226 YT,TRONTON
483,0000505769,D 9877 AG,BU/KGCS01/FIKRI
484,0000502777,B 9883 BEU,1T.BUILT UP
485,0000505138,B 9755 TEU,BU/25CB03/FIKRI
486,0000505733,B 9051 PXS,1.KUBIKASI
487,0000503763,B 9321 TXU,1.KUBIKASI
488,0000505138,B 9349 TEV,BU/25CT01/FIKRI
489,0000505138,B 9304 TEX,1T.BUILT UP
490,0000503421,B 9759 PEU,BU/25CK01/FIKRI
491,0000505138,B 9193 TEW,1.KUBIKASI
492,0000505138,B 9419 TXT,1KUBIKASI
493,0000505138,B 9595 TEW,KUBIKASI
494,0000503421,B 9732 PEU,1T.BUILT UP
495,0000505138,B 9450 TXT,1.KUBIKASI
496,0000505138,B 9886 TEY,1T.BUILT UP
497,0000503520,B 9624 VCA,1T.ENGKEL
498,0000503421,B 9216 PXR,FUSO
499,0000503849,B 9318 UXS,1T.ENGKEL
500,0000502777,B 9269 BEU,1T.BUILT UP
501,0000505138,B 9193 TEW,1.KUBIKASI
502,0000505138,B 9424 TEX,1T.BUILT UP
503,0000505138,B 9099 TEY,BU/20CT02/FIKRI
504,0000505138,B 9122 TEV,1.KUBIKASI
505,0000505138,B 9977 TEW,KUBIKASI
506,0000505733,B 9221 PXS,1.KUBIKASI
507,0000505138,B 9942 TEV,1T.BUILT UP
508,0000503520,B 9053 VXR,1T.ENGKEL
509,0000507232,B 9972 FEU,BU/25JP01/HERYDJ
510,0000505733,B 9462 PEU,1.KUBIKASI
511,0000503421,B 9195 TEX,BU/25JJ05/HERYDJ
512,0000505138,B 9304 TEX,KUBIKASI
513,0000503421,B 9731 PEU,1T.BUILT UP
514,0000506865,B 9139 QZ,BUILT UP
515,0000505138,B 9782 TEV,BU/25CS03/RIKI
516,0000502777,B 9917 BEU,1T.BUILT UP
517,0000503421,B 9284 PXS,1T.BUILT UP
518,0000503421,B 9683 PEU,1T.BUILT UP
519,0000505733,B 9462 PEU,1.KUBIKASI
520,0000505138,B 9808 TEY,KUBIKASI
521,0000503421,B 9731 PEU,1T.BUILT UP
522,0000506865,B 9139 QZ,BUILT UP
523,0000506234,Z 9012 MG,1T.BUILT UP
524,0000503520,B 9051 VXR,1T.ENGKEL
525,0000506865,B 9708 S,BUILT UP
526,0000502777,B 9618 KA,1T.BUILT UP
527,0000505138,B 9571 TEV,KUBIKASI
